Unnamed: 0,Author,Book Name,imagePaths
0,Robert C. Martin,Clean Code,data/covers/0000001.jpg
1,Shigeru Miyamoto,The Legend of Zelda,data/covers/0000002.jpg
2,Steve Krug,"Don't Make Me Think, Revisited",data/covers/0000003.jpg
3,Douglas R. Hofstadter,"Godel, Escher, Bach",data/covers/0000004.jpg
4,Nick Bostrom,Superintelligence,data/covers/0000005.jpg
5,Jon Duckett,"Web Design with HTML, CSS, JavaScript and jQuery Set",data/covers/0000006.jpg
6,Gayle Laakmann McDowell,Cracking the Coding Interview,data/covers/0000007.jpg
7,David Thorne,The Internet is a Playground,data/covers/0000008.jpg
8,DanTDM,DanTDM: Trayaurus and the Enchanted Crystal,data/covers/0000009.jpg
9,Max Tegmark,Life 3.0,data/covers/0000010.jpg
10,Andrew Hodges,Alan Turing: The Enigma,data/covers/0000011.jpg
11,Andrew Hunt,The Pragmatic Programmer,data/covers/0000012.jpg
12,Cathy O'neil,Weapons of Math Destruction,data/covers/0000013.jpg
13,Cal Newport,Digital Minimalism,data/covers/0000014.jpg
14,Jon Duckett,HTML and CSS,data/covers/0000015.jpg
15,Robert C. Martin,Clean Architecture,data/covers/0000016.jpg
16,Erich Gamma,Design Patterns,data/covers/0000017.jpg
17,Robert C. Martin,The Clean Coder,data/covers/0000018.jpg
18,Blizzard,World Of Warcraft: Chronicle Volume 1,data/covers/0000019.jpg
19,Aurelien Geron,Hands-On Machine Learning with Scikit-Learn and TensorFlow,data/covers/0000020.jpg
20,Steve McConnell,Code Complete,data/covers/0000021.jpg
21,Eric Freeman,Head First Design Patterns,data/covers/0000022.jpg
22,Keith Ferrazzi,Never Eat Alone,data/covers/0000023.jpg
23,Nicholas Carr,The Shallows,data/covers/0000024.jpg
24,Andy Field,Discovering Statistics Using IBM SPSS Statistics,data/covers/0000025.jpg
25,Martin Kleppmann,Designing Data-Intensive Applications,data/covers/0000026.jpg
26,Julie Pallant,SPSS Survival Manual,data/covers/0000027.jpg
27,Charles Petzold,Code,data/covers/0000028.jpg
28,Douglas Crockford,JavaScript: The Good Parts,data/covers/0000029.jpg
29,Al Sweigart,Automate The Boring Stuff With Python,data/covers/0000030.jpg
30,Garrett Grolemund,R for Data Science,data/covers/0000031.jpg
31,Blizzard Entertainment,World Of Warcraft Chronicle Volume 2,data/covers/0000032.jpg
32,Frederick P. Brooks Jr.,The Mythical Man-Month,data/covers/0000033.jpg
33,Brian Christian,Algorithms to Live By,data/covers/0000034.jpg
34,Adam Lawrence,This is Service Design Doing,data/covers/0000035.jpg
35,Seth Godin,All Marketers are Liars,data/covers/0000036.jpg
36,Jason Schreier,"Blood, Sweat, and Pixels",data/covers/0000037.jpg
37,Pedro Domingos,The Master Algorithm,data/covers/0000038.jpg
38,Kathy Sierra,Head First Java,data/covers/0000039.jpg
39,Yoshua Bengio,Deep Learning,data/covers/0000040.jpg
40,Brian W. Kernighan,C Programming Language,data/covers/0000041.jpg
41,Susan Weinschenk,100 Things Every Designer Needs to Know About People,data/covers/0000042.jpg
42,Martin Fowler,Refactoring,data/covers/0000043.jpg
43,Joshua Bloch,Effective Java,data/covers/0000044.jpg
44,Mark Lutz,Python Pocket Reference,data/covers/0000045.jpg
45,Marty Neumeier,The Brand Gap,data/covers/0000046.jpg
46,Edward Snowden,Permanent Record,data/covers/0000047.jpg
47,Gareth James,An Introduction to Statistical Learning,data/covers/0000048.jpg
